1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
1872	-0.871127	105.420179	0.005524	29.6
1873	-0.869827	105.388133	0.006381	28.6
1874	-0.827375	105.356113	0.007859	31.0
1875	-0.314239	105.324119	0.004903	28.8
1876	-0.129345	105.292151	0.001860	31.1
1877	0.000000	105.260209	0.000000	29.3
1878	-0.925558	105.228293	0.007415	28.1
1879	-0.068760	105.196402	0.002598	30.9
1880	-0.351666	105.164537	0.005375	30.3
1881	-0.314436	105.132698	0.005287	29.7
1882	-0.777085	105.100885	0.007190	31.6
1883	-0.831523	105.069097	0.006155	28.4
1884	-0.807061	105.037335	0.005316	29.5
1885	-0.509555	105.005598	0.005538	29.3
1886	-0.919477	104.973887	0.009225	30.8
1887	-0.667314	104.942202	0.005258	29.6
1888	-0.240436	104.910542	0.003084	28.9
1889	-0.562204	104.878907	0.006075	28.8
1890	-0.855850	104.847298	0.007678	30.2
1891	-0.885086	104.815715	0.008079	29.2
1892	0.000000	104.784156	0.000000	29.4
1893	-0.505075	104.752623	0.005295	28.9
1894	0.000000	104.721116	0.000000	28.9
1895	0.000000	104.689633	0.000000	29.8
1896	-0.385460	104.658176	0.005162	30.9
1897	-0.429622	104.626744	0.005439	29.3
1898	-0.774338	104.595337	0.006033	28.6
1899	-0.693621	104.563955	0.006848	29.1
1900	-0.548742	104.532599	0.005122	30.9
1901	-0.756153	104.501267	0.010606	31.1
1902	-0.569983	104.469960	0.006878	27.9
1903	-0.380394	104.438679	0.005304	29.5
1904	-0.851134	104.407422	0.007095	29.5
1905	-0.536096	104.376191	0.006199	31.1
1906	-0.937484	104.344984	0.006530	29.5
1907	-0.038247	104.313802	0.003439	31.1
1908	-0.961618	104.282645	0.008972	28.1
1909	-1.073543	104.251513	0.008349	29.0
1910	0.000000	104.220405	0.000000	30.2
1911	0.000000	104.189323	0.000000	29.7
1912	-0.645062	104.158265	0.004942	28.8
1913	-0.485458	104.127231	0.006950	30.0
1914	-0.255603	104.096222	0.003743	28.9
1915	-0.338149	104.065238	0.003125	30.9
1916	-0.648398	104.034279	0.006728	30.2
1917	-0.846086	104.003344	0.005385	28.5
1918	-0.819548	103.972433	0.006968	29.0
1919	-0.849547	103.941547	0.006126	29.8
1920	-0.528024	103.910686	0.006615	30.3
1921	-0.595996	103.879849	0.005385	30.3
1922	-0.478294	103.849036	0.005067	28.6
1923	-0.840459	103.818248	0.006478	28.3
1924	-0.913947	103.787484	0.007414	29.7
1925	-0.964958	103.756744	0.006853	31.4
1926	-0.936193	103.726029	0.008055	30.2
1927	0.000000	103.695338	0.000000	28.2
1928	-0.839870	103.664671	0.004823	29.9
1929	-0.960020	103.634028	0.007457	29.4
1930	-0.938178	103.603409	0.008331	30.7
1931	-0.398609	103.572814	0.005279	28.8
1932	-0.846416	103.542244	0.006812	29.7
1933	-0.338779	103.511698	0.005700	28.3
1934	-0.000001	103.481175	0.000001	30.0
1935	-0.941585	103.450677	0.008076	30.4
1936	-0.807259	103.420202	0.006949	29.3
1937	-0.662839	103.389752	0.007910	29.0
1938	-0.774214	103.359325	0.007181	28.8
1939	0.000000	103.328922	0.000000	30.9
1940	-0.967799	103.298543	0.007923	30.6
1941	-0.681440	103.268188	0.005640	31.0
1942	-0.787839	103.237857	0.008334	28.1
1943	-0.064575	103.207549	0.002328	29.2
1944	-0.528566	103.177265	0.005257	29.8
1945	0.000000	103.147005	0.000000	29.6
1946	-0.885655	103.116768	0.008085	29.2
1947	0.000000	103.086556	0.000000	30.7
